1231283029953392647 ||||| Blame, Negative, Demoralizing Speech :: Yes || Contains_Hate :: No || Talk About Cure or Vaccine :: No || Give Advice :: No || Rise Moral :: No || News or Opinion :: Opinion || Dialect :: Middle East || Factual :: Yes || Worth Fact-checking :: Maybe || Contains Fake Information :: Yes
1288498783119118338 ||||| Contains_Hate :: No || Talk About Cure or Vaccine :: No || Give Advice :: No || Rise Moral :: No || News or Opinion :: News || Blame, Negative, Demoralizing Speech :: No || Dialect :: MSA || Factual :: Yes || Worth Fact-checking :: No || Contains Fake Information :: No
1262068106043801602 ||||| Contains_Hate :: No || Talk About Cure or Vaccine :: No || Give Advice :: No || Rise Moral :: No || News or Opinion :: News || Blame, Negative, Demoralizing Speech :: No || Dialect :: MSA || Factual :: Yes || Worth Fact-checking :: No || Contains Fake Information :: No
1333439988059545601 ||||| Blame, Negative, Demoralizing Speech :: No || Contains Fake Information :: No || Dialect :: MSA || Factual :: Yes || Give Advice :: No || Contains_Hate :: No || News or Opinion :: News || Rise Moral :: No || Talk About Cure or Vaccine :: No || Worth Fact-checking :: No
1258069489683488769 ||||| Blame, Negative, Demoralizing Speech :: No || Contains Fake Information :: No || Dialect :: MSA || Factual :: Yes || Give Advice :: No || Contains_Hate :: No || News or Opinion :: News || Rise Moral :: No || Talk About Cure or Vaccine :: No || Worth Fact-checking :: No
1246107663752142853 ||||| Blame, Negative, Demoralizing Speech :: No || Contains Fake Information :: No || Dialect :: North Africa || Factual :: Yes || Give Advice :: No || Contains_Hate :: No || News or Opinion :: News || Rise Moral :: No || Talk About Cure or Vaccine :: No || Worth Fact-checking :: No
1284515469249187841 ||||| Contains_Hate :: No || Talk About Cure or Vaccine :: No || Give Advice :: No || Rise Moral :: No || News or Opinion :: News || Blame, Negative, Demoralizing Speech :: No || Dialect :: North Africa || Factual :: Can't decide || Worth Fact-checking :: Can't decide || Contains Fake Information :: Can't decide
1238052859712884736 ||||| Blame, Negative, Demoralizing Speech :: No || Contains Fake Information :: No || Dialect :: MSA || Factual :: Yes || Give Advice :: No || Contains_Hate :: No || News or Opinion :: News || Rise Moral :: No || Talk About Cure or Vaccine :: No || Worth Fact-checking :: No
1236618072976437249 ||||| Contains_Hate :: No || Talk About Cure or Vaccine :: No || Give Advice :: No || Rise Moral :: No || News or Opinion :: News || Blame, Negative, Demoralizing Speech :: No || Dialect :: North Africa || Factual :: Yes || Worth Fact-checking :: No || Contains Fake Information :: No
1296097105250078720 ||||| Blame, Negative, Demoralizing Speech :: No || Contains Fake Information :: No || Dialect :: MSA || Factual :: Yes || Give Advice :: No || Contains_Hate :: No || News or Opinion :: News || Rise Moral :: No || Talk About Cure or Vaccine :: No || Worth Fact-checking :: No
1262774355974635522 ||||| Contains_Hate :: No || Talk About Cure or Vaccine :: No || Give Advice :: No || Rise Moral :: No || News or Opinion :: News || Blame, Negative, Demoralizing Speech :: No || Dialect :: North Africa || Factual :: Yes || Worth Fact-checking :: No || Contains Fake Information :: No
1245786620797882369 ||||| Blame, Negative, Demoralizing Speech :: No || Contains Fake Information :: No || Dialect :: MSA || Factual :: Yes || Give Advice :: No || Contains_Hate :: No || News or Opinion :: News || Rise Moral :: No || Talk About Cure or Vaccine :: No || Worth Fact-checking :: No
1326913571905826816 ||||| Blame, Negative, Demoralizing Speech :: No || Contains Fake Information :: Can't decide || Dialect :: North Africa || Factual :: Can't decide || Give Advice :: No || Contains_Hate :: Yes || News or Opinion :: News || Rise Moral :: No || Talk About Cure or Vaccine :: No || Worth Fact-checking :: Can't decide
1280916475423801344 ||||| Blame, Negative, Demoralizing Speech :: No || Contains Fake Information :: No || Dialect :: MSA || Factual :: Yes || Give Advice :: No || Contains_Hate :: No || News or Opinion :: News || Rise Moral :: No || Talk About Cure or Vaccine :: No || Worth Fact-checking :: No
1232451458605486080 ||||| Blame, Negative, Demoralizing Speech :: No || Contains Fake Information :: Can't decide || Dialect :: MSA || Factual :: Can't decide || Give Advice :: No || Contains_Hate :: No || News or Opinion :: News || Rise Moral :: No || Talk About Cure or Vaccine :: No || Worth Fact-checking :: Can't decide
1272571545454612481 ||||| Blame, Negative, Demoralizing Speech :: No || Contains Fake Information :: No || Dialect :: MSA || Factual :: Yes || Give Advice :: No || Contains_Hate :: No || News or Opinion :: News || Rise Moral :: No || Talk About Cure or Vaccine :: No || Worth Fact-checking :: No
1280566291456278530 ||||| Blame, Negative, Demoralizing Speech :: No || Contains Fake Information :: No || Dialect :: MSA || Factual :: Yes || Give Advice :: No || Contains_Hate :: No || News or Opinion :: News || Rise Moral :: No || Talk About Cure or Vaccine :: No || Worth Fact-checking :: No
1253000216527155200 ||||| Blame, Negative, Demoralizing Speech :: No || Contains Fake Information :: No || Dialect :: MSA || Factual :: Yes || Give Advice :: No || Contains_Hate :: No || News or Opinion :: News || Rise Moral :: No || Talk About Cure or Vaccine :: No || Worth Fact-checking :: No
1304492465920061442 ||||| Blame, Negative, Demoralizing Speech :: No || Contains Fake Information :: Can't decide || Dialect :: MSA || Factual :: Can't decide || Give Advice :: No || Contains_Hate :: No || News or Opinion :: News || Rise Moral :: No || Talk About Cure or Vaccine :: No || Worth Fact-checking :: Can't decide
1249754098280337408 ||||| Blame, Negative, Demoralizing Speech :: No || Contains Fake Information :: No || Dialect :: MSA || Factual :: Yes || Give Advice :: No || Contains_Hate :: No || News or Opinion :: News || Rise Moral :: No || Talk About Cure or Vaccine :: No || Worth Fact-checking :: No
1288498008561156101 ||||| Blame, Negative, Demoralizing Speech :: No || Contains Fake Information :: No || Dialect :: MSA || Factual :: Yes || Give Advice :: No || Contains_Hate :: No || News or Opinion :: News || Rise Moral :: No || Talk About Cure or Vaccine :: No || Worth Fact-checking :: No
1254076753074688009 ||||| Blame, Negative, Demoralizing Speech :: No || Contains Fake Information :: No || Dialect :: MSA || Factual :: Yes || Give Advice :: No || Contains_Hate :: No || News or Opinion :: News || Rise Moral :: No || Talk About Cure or Vaccine :: No || Worth Fact-checking :: No
1259237185779306496 ||||| Blame, Negative, Demoralizing Speech :: No || Contains Fake Information :: No || Dialect :: MSA || Factual :: Yes || Give Advice :: No || Contains_Hate :: No || News or Opinion :: News || Rise Moral :: No || Talk About Cure or Vaccine :: No || Worth Fact-checking :: No
1244298798102269954 ||||| Blame, Negative, Demoralizing Speech :: No || Contains Fake Information :: No || Dialect :: MSA || Factual :: Yes || Give Advice :: Yes || Contains_Hate :: No || News or Opinion :: News || Rise Moral :: No || Talk About Cure or Vaccine :: No || Worth Fact-checking :: No
1245017290199924736 ||||| Blame, Negative, Demoralizing Speech :: No || Contains Fake Information :: No || Dialect :: MSA || Factual :: Yes || Give Advice :: No || Contains_Hate :: No || News or Opinion :: News || Rise Moral :: No || Talk About Cure or Vaccine :: No || Worth Fact-checking :: No
1286328327058395136 ||||| Contains_Hate :: No || Talk About Cure or Vaccine :: No || Give Advice :: No || Rise Moral :: No || News or Opinion :: News || Blame, Negative, Demoralizing Speech :: No || Dialect :: North Africa || Factual :: Yes || Worth Fact-checking :: No || Contains Fake Information :: No
1310248042440921093 ||||| Blame, Negative, Demoralizing Speech :: No || Contains Fake Information :: No || Dialect :: MSA || Factual :: Yes || Give Advice :: No || Contains_Hate :: No || News or Opinion :: News || Rise Moral :: No || Talk About Cure or Vaccine :: No || Worth Fact-checking :: No
1276913687060795398 ||||| Blame, Negative, Demoralizing Speech :: No || Contains Fake Information :: No || Dialect :: MSA || Factual :: Yes || Give Advice :: No || Contains_Hate :: No || News or Opinion :: News || Rise Moral :: No || Talk About Cure or Vaccine :: No || Worth Fact-checking :: No
1302649554806996992 ||||| Blame, Negative, Demoralizing Speech :: No || Contains Fake Information :: No || Dialect :: MSA || Factual :: Yes || Give Advice :: No || Contains_Hate :: No || News or Opinion :: News || Rise Moral :: No || Talk About Cure or Vaccine :: No || Worth Fact-checking :: No
1303747572725624835 ||||| Blame, Negative, Demoralizing Speech :: No || Contains Fake Information :: No || Dialect :: MSA || Factual :: Yes || Give Advice :: No || Contains_Hate :: No || News or Opinion :: News || Rise Moral :: No || Talk About Cure or Vaccine :: No || Worth Fact-checking :: No
1277994473239261184 ||||| Contains_Hate :: No || Talk About Cure or Vaccine :: No || Give Advice :: No || Rise Moral :: No || News or Opinion :: News || Blame, Negative, Demoralizing Speech :: No || Dialect :: North Africa || Factual :: Yes || Worth Fact-checking :: No || Contains Fake Information :: No
1242118981441519617 ||||| Blame, Negative, Demoralizing Speech :: No || Contains Fake Information :: No || Dialect :: MSA || Factual :: Yes || Give Advice :: No || Contains_Hate :: No || News or Opinion :: News || Rise Moral :: No || Talk About Cure or Vaccine :: No || Worth Fact-checking :: No
1244305577053958144 ||||| Blame, Negative, Demoralizing Speech :: No || Contains Fake Information :: No || Dialect :: MSA || Factual :: Yes || Give Advice :: Yes || Contains_Hate :: No || News or Opinion :: News || Rise Moral :: No || Talk About Cure or Vaccine :: No || Worth Fact-checking :: No
1299758826288185344 ||||| Blame, Negative, Demoralizing Speech :: No || Contains Fake Information :: No || Dialect :: MSA || Factual :: Yes || Give Advice :: No || Contains_Hate :: No || News or Opinion :: News || Rise Moral :: No || Talk About Cure or Vaccine :: No || Worth Fact-checking :: No
1286555223369093120 ||||| Contains_Hate :: No || Talk About Cure or Vaccine :: No || Give Advice :: No || Rise Moral :: No || News or Opinion :: News || Blame, Negative, Demoralizing Speech :: No || Dialect :: North Africa || Factual :: Yes || Worth Fact-checking :: No || Contains Fake Information :: No
1286373870539341830 ||||| Contains_Hate :: No || Talk About Cure or Vaccine :: No || Give Advice :: No || Rise Moral :: No || News or Opinion :: News || Blame, Negative, Demoralizing Speech :: No || Dialect :: North Africa || Factual :: Yes || Worth Fact-checking :: No || Contains Fake Information :: No
1303593189614538755 ||||| Contains_Hate :: No || Talk About Cure or Vaccine :: No || Give Advice :: No || Rise Moral :: No || News or Opinion :: News || Blame, Negative, Demoralizing Speech :: No || Dialect :: North Africa || Factual :: Yes || Worth Fact-checking :: No || Contains Fake Information :: No
1246832606664105984 ||||| Contains_Hate :: No || Talk About Cure or Vaccine :: No || Give Advice :: No || Rise Moral :: No || News or Opinion :: News || Blame, Negative, Demoralizing Speech :: No || Dialect :: North Africa || Factual :: Yes || Worth Fact-checking :: No || Contains Fake Information :: No
1276214127313276928 ||||| Blame, Negative, Demoralizing Speech :: No || Contains Fake Information :: Can't decide || Dialect :: MSA || Factual :: Can't decide || Give Advice :: No || Contains_Hate :: No || News or Opinion :: News || Rise Moral :: No || Talk About Cure or Vaccine :: No || Worth Fact-checking :: Can't decide
1314598430640091148 ||||| Blame, Negative, Demoralizing Speech :: No || Contains Fake Information :: No || Dialect :: MSA || Factual :: Yes || Give Advice :: No || Contains_Hate :: No || News or Opinion :: News || Rise Moral :: No || Talk About Cure or Vaccine :: No || Worth Fact-checking :: No
1259499470087127040 ||||| Blame, Negative, Demoralizing Speech :: No || Contains Fake Information :: No || Dialect :: MSA || Factual :: Yes || Give Advice :: No || Contains_Hate :: No || News or Opinion :: News || Rise Moral :: No || Talk About Cure or Vaccine :: No || Worth Fact-checking :: No
1269662408366346243 ||||| Blame, Negative, Demoralizing Speech :: No || Contains Fake Information :: No || Dialect :: MSA || Factual :: Yes || Give Advice :: No || Contains_Hate :: No || News or Opinion :: News || Rise Moral :: No || Talk About Cure or Vaccine :: No || Worth Fact-checking :: No
1331991319514910729 ||||| Blame, Negative, Demoralizing Speech :: No || Contains Fake Information :: No || Dialect :: MSA || Factual :: Yes || Give Advice :: No || Contains_Hate :: No || News or Opinion :: News || Rise Moral :: No || Talk About Cure or Vaccine :: No || Worth Fact-checking :: No
1307007464458649601 ||||| Blame, Negative, Demoralizing Speech :: No || Contains Fake Information :: No || Give Advice :: No || Contains_Hate :: No || News or Opinion :: News || Rise Moral :: No || Talk About Cure or Vaccine :: No || Worth Fact-checking :: No || Dialect :: Can't decide || Factual :: Can't decide
1250095165227913217 ||||| Blame, Negative, Demoralizing Speech :: No || Contains Fake Information :: No || Dialect :: MSA || Factual :: Yes || Give Advice :: Yes || Contains_Hate :: No || News or Opinion :: News || Rise Moral :: No || Talk About Cure or Vaccine :: No || Worth Fact-checking :: No
1257694219612889089 ||||| Blame, Negative, Demoralizing Speech :: No || Contains Fake Information :: No || Dialect :: MSA || Factual :: Yes || Give Advice :: No || Contains_Hate :: No || News or Opinion :: News || Rise Moral :: No || Talk About Cure or Vaccine :: No || Worth Fact-checking :: No
1326568696941326336 ||||| Blame, Negative, Demoralizing Speech :: No || Contains Fake Information :: No || Dialect :: MSA || Factual :: Yes || Give Advice :: No || Contains_Hate :: No || News or Opinion :: News || Rise Moral :: No || Talk About Cure or Vaccine :: No || Worth Fact-checking :: No
1256983474285797382 ||||| Blame, Negative, Demoralizing Speech :: No || Contains Fake Information :: No || Dialect :: MSA || Factual :: Yes || Give Advice :: No || Contains_Hate :: No || News or Opinion :: News || Rise Moral :: No || Talk About Cure or Vaccine :: No || Worth Fact-checking :: No
1330921823224156165 ||||| Contains_Hate :: No || Talk About Cure or Vaccine :: No || Give Advice :: No || Rise Moral :: No || News or Opinion :: News || Blame, Negative, Demoralizing Speech :: No || Dialect :: North Africa || Factual :: Can't decide || Worth Fact-checking :: Can't decide || Contains Fake Information :: Can't decide
1232557603127013377 ||||| Contains_Hate :: No || Talk About Cure or Vaccine :: No || Give Advice :: No || Rise Moral :: No || News or Opinion :: News || Blame, Negative, Demoralizing Speech :: No || Dialect :: North Africa || Factual :: Can't decide || Worth Fact-checking :: Can't decide || Contains Fake Information :: Can't decide
1248280987521429505 ||||| Contains_Hate :: No || Talk About Cure or Vaccine :: Yes || Give Advice :: No || Rise Moral :: No || News or Opinion :: News || Blame, Negative, Demoralizing Speech :: No || Dialect :: North Africa || Factual :: Yes || Worth Fact-checking :: No || Contains Fake Information :: No
1240242764866093056 ||||| Contains_Hate :: No || Talk About Cure or Vaccine :: No || Give Advice :: No || Rise Moral :: No || News or Opinion :: News || Blame, Negative, Demoralizing Speech :: No || Dialect :: North Africa || Factual :: Can't decide || Worth Fact-checking :: Can't decide || Contains Fake Information :: Can't decide
1296108524448227328 ||||| Contains_Hate :: No || Talk About Cure or Vaccine :: No || Give Advice :: No || Rise Moral :: No || News or Opinion :: News || Blame, Negative, Demoralizing Speech :: No || Dialect :: North Africa || Factual :: Yes || Worth Fact-checking :: No || Contains Fake Information :: No
1254790503536537602 ||||| Contains_Hate :: No || Talk About Cure or Vaccine :: No || Give Advice :: No || Rise Moral :: No || News or Opinion :: News || Blame, Negative, Demoralizing Speech :: No || Dialect :: MSA || Factual :: Yes || Worth Fact-checking :: No || Contains Fake Information :: No
1281980976999129093 ||||| Contains_Hate :: No || Talk About Cure or Vaccine :: No || Give Advice :: No || Rise Moral :: No || News or Opinion :: News || Blame, Negative, Demoralizing Speech :: No || Dialect :: MSA || Factual :: Yes || Worth Fact-checking :: No || Contains Fake Information :: No
1250457902210584576 ||||| Contains_Hate :: No || Talk About Cure or Vaccine :: No || Give Advice :: No || Rise Moral :: No || News or Opinion :: News || Blame, Negative, Demoralizing Speech :: No || Dialect :: North Africa || Factual :: Can't decide || Worth Fact-checking :: Can't decide || Contains Fake Information :: Can't decide
1243932946857328643 ||||| Contains_Hate :: No || Talk About Cure or Vaccine :: No || Give Advice :: No || Rise Moral :: No || News or Opinion :: News || Blame, Negative, Demoralizing Speech :: No || Dialect :: MSA || Factual :: Yes || Worth Fact-checking :: No || Contains Fake Information :: No
1303359362711289866 ||||| Contains_Hate :: No || Talk About Cure or Vaccine :: No || Give Advice :: No || Rise Moral :: No || News or Opinion :: News || Blame, Negative, Demoralizing Speech :: No || Dialect :: MSA || Factual :: Yes || Worth Fact-checking :: No || Contains Fake Information :: No
1249910249479213056 ||||| Contains_Hate :: No || Talk About Cure or Vaccine :: No || Give Advice :: No || Rise Moral :: No || News or Opinion :: News || Blame, Negative, Demoralizing Speech :: No || Dialect :: MSA || Factual :: Yes || Worth Fact-checking :: No || Contains Fake Information :: No
1240637926414966786 ||||| Contains_Hate :: No || Talk About Cure or Vaccine :: No || Give Advice :: No || Rise Moral :: No || News or Opinion :: News || Blame, Negative, Demoralizing Speech :: No || Dialect :: MSA || Factual :: Yes || Worth Fact-checking :: No || Contains Fake Information :: No
1283053924375724034 ||||| Contains_Hate :: No || Talk About Cure or Vaccine :: No || Give Advice :: No || Rise Moral :: No || News or Opinion :: News || Blame, Negative, Demoralizing Speech :: No || Dialect :: North Africa || Factual :: Yes || Worth Fact-checking :: No || Contains Fake Information :: No
1309164601465069571 ||||| Contains_Hate :: No || Talk About Cure or Vaccine :: No || Give Advice :: No || Rise Moral :: No || News or Opinion :: News || Blame, Negative, Demoralizing Speech :: No || Dialect :: MSA || Factual :: Yes || Worth Fact-checking :: No || Contains Fake Information :: No
1271836483855486980 ||||| Contains_Hate :: No || Talk About Cure or Vaccine :: No || Give Advice :: No || Rise Moral :: No || News or Opinion :: News || Blame, Negative, Demoralizing Speech :: No || Dialect :: MSA || Factual :: Yes || Worth Fact-checking :: No || Contains Fake Information :: No
1251540784471515141 ||||| Contains_Hate :: No || Talk About Cure or Vaccine :: No || Give Advice :: No || Rise Moral :: No || News or Opinion :: News || Blame, Negative, Demoralizing Speech :: No || Dialect :: MSA || Factual :: Yes || Worth Fact-checking :: No || Contains Fake Information :: No
1271126474930733057 ||||| Contains_Hate :: No || Talk About Cure or Vaccine :: No || Give Advice :: No || Rise Moral :: No || News or Opinion :: News || Blame, Negative, Demoralizing Speech :: No || Dialect :: MSA || Factual :: Yes || Worth Fact-checking :: No || Contains Fake Information :: No
1282711304101335041 ||||| Contains_Hate :: No || Talk About Cure or Vaccine :: No || Give Advice :: No || Rise Moral :: No || News or Opinion :: News || Blame, Negative, Demoralizing Speech :: No || Dialect :: MSA || Factual :: Yes || Worth Fact-checking :: No || Contains Fake Information :: No
1278004090941865985 ||||| Contains_Hate :: No || Talk About Cure or Vaccine :: No || Give Advice :: No || Rise Moral :: No || News or Opinion :: News || Blame, Negative, Demoralizing Speech :: No || Dialect :: MSA || Factual :: Yes || Worth Fact-checking :: No || Contains Fake Information :: No
1301194451122089989 ||||| Contains_Hate :: No || Talk About Cure or Vaccine :: No || Give Advice :: No || Rise Moral :: No || News or Opinion :: News || Blame, Negative, Demoralizing Speech :: No || Dialect :: MSA || Factual :: Yes || Worth Fact-checking :: No || Contains Fake Information :: No
1246639950180708353 ||||| Contains_Hate :: No || Talk About Cure or Vaccine :: No || Give Advice :: No || Rise Moral :: No || News or Opinion :: News || Blame, Negative, Demoralizing Speech :: No || Dialect :: MSA || Factual :: Yes || Worth Fact-checking :: No || Contains Fake Information :: No
1240578181318561792 ||||| Contains_Hate :: No || Talk About Cure or Vaccine :: No || Give Advice :: No || Rise Moral :: No || News or Opinion :: News || Blame, Negative, Demoralizing Speech :: No || Dialect :: MSA || Factual :: Yes || Worth Fact-checking :: No || Contains Fake Information :: No
1329112307369177092 ||||| Contains_Hate :: No || Talk About Cure or Vaccine :: No || Give Advice :: No || Rise Moral :: No || News or Opinion :: News || Blame, Negative, Demoralizing Speech :: No || Dialect :: MSA || Factual :: Yes || Worth Fact-checking :: No || Contains Fake Information :: No
1260622652705832960 ||||| Contains_Hate :: No || Talk About Cure or Vaccine :: No || Give Advice :: No || Rise Moral :: No || News or Opinion :: News || Blame, Negative, Demoralizing Speech :: No || Dialect :: MSA || Factual :: Yes || Worth Fact-checking :: No || Contains Fake Information :: No
1247552219970494467 ||||| Contains_Hate :: No || Talk About Cure or Vaccine :: No || Give Advice :: No || Rise Moral :: No || News or Opinion :: News || Blame, Negative, Demoralizing Speech :: No || Dialect :: MSA || Factual :: Yes || Worth Fact-checking :: No || Contains Fake Information :: No
1288133141568389125 ||||| Contains_Hate :: No || Talk About Cure or Vaccine :: No || Give Advice :: No || Rise Moral :: No || News or Opinion :: News || Blame, Negative, Demoralizing Speech :: No || Dialect :: MSA || Factual :: Yes || Worth Fact-checking :: No || Contains Fake Information :: No
1284501038687551489 ||||| Contains_Hate :: No || Talk About Cure or Vaccine :: No || Give Advice :: No || Rise Moral :: No || News or Opinion :: News || Blame, Negative, Demoralizing Speech :: No || Dialect :: North Africa || Factual :: Yes || Worth Fact-checking :: No || Contains Fake Information :: No
1250092758062321665 ||||| Contains_Hate :: No || Talk About Cure or Vaccine :: No || Give Advice :: No || Rise Moral :: No || News or Opinion :: News || Blame, Negative, Demoralizing Speech :: No || Dialect :: MSA || Factual :: Yes || Worth Fact-checking :: No || Contains Fake Information :: No
1276921819493289984 ||||| Contains_Hate :: No || Talk About Cure or Vaccine :: No || Give Advice :: No || Rise Moral :: No || News or Opinion :: News || Blame, Negative, Demoralizing Speech :: No || Dialect :: MSA || Factual :: Yes || Worth Fact-checking :: No || Contains Fake Information :: No
1279086464886849537 ||||| Contains_Hate :: No || Talk About Cure or Vaccine :: No || Give Advice :: No || Rise Moral :: No || News or Opinion :: News || Blame, Negative, Demoralizing Speech :: No || Dialect :: MSA || Factual :: Yes || Worth Fact-checking :: No || Contains Fake Information :: No
1251183354487111681 ||||| Contains_Hate :: No || Talk About Cure or Vaccine :: No || Give Advice :: No || Rise Moral :: No || News or Opinion :: News || Blame, Negative, Demoralizing Speech :: No || Dialect :: MSA || Factual :: Yes || Worth Fact-checking :: No || Contains Fake Information :: No
1277273781325705219 ||||| Contains_Hate :: No || Talk About Cure or Vaccine :: No || Give Advice :: No || Rise Moral :: No || News or Opinion :: News || Blame, Negative, Demoralizing Speech :: No || Dialect :: MSA || Factual :: Yes || Worth Fact-checking :: No || Contains Fake Information :: No
1283797312901390339 ||||| Contains_Hate :: No || Talk About Cure or Vaccine :: No || Give Advice :: No || Rise Moral :: No || News or Opinion :: News || Blame, Negative, Demoralizing Speech :: No || Dialect :: MSA || Factual :: Yes || Worth Fact-checking :: No || Contains Fake Information :: No
1247202069196480512 ||||| Contains_Hate :: No || Talk About Cure or Vaccine :: No || Give Advice :: No || Rise Moral :: No || News or Opinion :: News || Blame, Negative, Demoralizing Speech :: No || Dialect :: MSA || Factual :: Yes || Worth Fact-checking :: No || Contains Fake Information :: No
1259524852358275077 ||||| Contains_Hate :: No || Talk About Cure or Vaccine :: No || Give Advice :: No || Rise Moral :: No || News or Opinion :: News || Blame, Negative, Demoralizing Speech :: No || Dialect :: MSA || Factual :: Yes || Worth Fact-checking :: No || Contains Fake Information :: No
1242845567354638340 ||||| Contains_Hate :: No || Talk About Cure or Vaccine :: No || Give Advice :: Yes || Rise Moral :: No || News or Opinion :: News || Blame, Negative, Demoralizing Speech :: No || Dialect :: MSA || Factual :: Yes || Worth Fact-checking :: No || Contains Fake Information :: No
1243949031639916544 ||||| Contains_Hate :: No || Talk About Cure or Vaccine :: No || Give Advice :: No || Rise Moral :: No || News or Opinion :: News || Blame, Negative, Demoralizing Speech :: No || Dialect :: MSA || Factual :: Yes || Worth Fact-checking :: No || Contains Fake Information :: No
1259170057877368837 ||||| Contains_Hate :: No || Talk About Cure or Vaccine :: No || Give Advice :: No || Rise Moral :: No || News or Opinion :: News || Blame, Negative, Demoralizing Speech :: No || Dialect :: MSA || Factual :: Yes || Worth Fact-checking :: No || Contains Fake Information :: No
1246225315338256384 ||||| Contains_Hate :: No || Talk About Cure or Vaccine :: No || Give Advice :: No || Rise Moral :: No || News or Opinion :: News || Blame, Negative, Demoralizing Speech :: No || Dialect :: MSA || Factual :: Yes || Worth Fact-checking :: No || Contains Fake Information :: No
1284498103492587520 ||||| Contains_Hate :: No || Talk About Cure or Vaccine :: No || Give Advice :: No || Rise Moral :: No || News or Opinion :: News || Blame, Negative, Demoralizing Speech :: No || Dialect :: North Africa || Factual :: Can't decide || Worth Fact-checking :: Can't decide || Contains Fake Information :: Can't decide
1284496227472728066 ||||| Contains_Hate :: No || Talk About Cure or Vaccine :: No || Give Advice :: No || Rise Moral :: No || News or Opinion :: News || Blame, Negative, Demoralizing Speech :: No || Dialect :: North Africa || Factual :: Yes || Worth Fact-checking :: No || Contains Fake Information :: No
1240995448837615616 ||||| Contains_Hate :: No || Talk About Cure or Vaccine :: No || Give Advice :: No || Rise Moral :: No || News or Opinion :: News || Blame, Negative, Demoralizing Speech :: No || Dialect :: MSA || Factual :: Yes || Worth Fact-checking :: No || Contains Fake Information :: No
1258783148000886785 ||||| Contains_Hate :: No || Talk About Cure or Vaccine :: No || Give Advice :: No || Rise Moral :: No || News or Opinion :: News || Blame, Negative, Demoralizing Speech :: No || Dialect :: MSA || Factual :: Yes || Worth Fact-checking :: No || Contains Fake Information :: No
1286320289564024832 ||||| Contains_Hate :: No || Talk About Cure or Vaccine :: No || Give Advice :: No || Rise Moral :: No || News or Opinion :: News || Blame, Negative, Demoralizing Speech :: No || Dialect :: MSA || Factual :: Yes || Worth Fact-checking :: No || Contains Fake Information :: No
1246833366923644935 ||||| Contains_Hate :: No || Talk About Cure or Vaccine :: No || Give Advice :: No || Rise Moral :: No || News or Opinion :: News || Blame, Negative, Demoralizing Speech :: No || Dialect :: MSA || Factual :: Yes || Worth Fact-checking :: No || Contains Fake Information :: No
1285963757689155585 ||||| Contains_Hate :: No || Talk About Cure or Vaccine :: No || Give Advice :: No || Rise Moral :: No || News or Opinion :: News || Blame, Negative, Demoralizing Speech :: No || Dialect :: MSA || Factual :: Yes || Worth Fact-checking :: No || Contains Fake Information :: No
1247399402345566208 ||||| Contains_Hate :: No || Talk About Cure or Vaccine :: No || Give Advice :: No || Rise Moral :: No || News or Opinion :: News || Blame, Negative, Demoralizing Speech :: No || Dialect :: MSA || Factual :: Yes || Worth Fact-checking :: No || Contains Fake Information :: No
1254451422063517696 ||||| Contains_Hate :: No || Talk About Cure or Vaccine :: No || Give Advice :: No || Rise Moral :: No || News or Opinion :: News || Blame, Negative, Demoralizing Speech :: No || Dialect :: MSA || Factual :: Yes || Worth Fact-checking :: No || Contains Fake Information :: No
1276545293522284544 ||||| Contains_Hate :: No || Talk About Cure or Vaccine :: No || Give Advice :: No || Rise Moral :: No || News or Opinion :: News || Blame, Negative, Demoralizing Speech :: No || Dialect :: MSA || Factual :: Yes || Worth Fact-checking :: No || Contains Fake Information :: No
1310973648283602944 ||||| Contains_Hate :: No || Talk About Cure or Vaccine :: No || Give Advice :: No || Rise Moral :: No || News or Opinion :: News || Blame, Negative, Demoralizing Speech :: No || Dialect :: MSA || Factual :: Yes || Worth Fact-checking :: No || Contains Fake Information :: No
1260236164100997120 ||||| Contains_Hate :: No || Talk About Cure or Vaccine :: No || Give Advice :: No || Rise Moral :: No || News or Opinion :: News || Blame, Negative, Demoralizing Speech :: No || Dialect :: MSA || Factual :: Yes || Worth Fact-checking :: No || Contains Fake Information :: No
1243939777591808000 ||||| Contains_Hate :: No || Talk About Cure or Vaccine :: No || Give Advice :: No || Rise Moral :: No || News or Opinion :: News || Blame, Negative, Demoralizing Speech :: No || Dialect :: MSA || Factual :: Yes || Worth Fact-checking :: No || Contains Fake Information :: No
1287411235995226115 ||||| Contains_Hate :: No || Talk About Cure or Vaccine :: No || Give Advice :: No || Rise Moral :: No || News or Opinion :: News || Blame, Negative, Demoralizing Speech :: No || Dialect :: MSA || Factual :: Yes || Worth Fact-checking :: No || Contains Fake Information :: No
1243953904297086977 ||||| Contains_Hate :: No || Talk About Cure or Vaccine :: No || Give Advice :: No || Rise Moral :: No || News or Opinion :: News || Blame, Negative, Demoralizing Speech :: No || Dialect :: MSA || Factual :: Yes || Worth Fact-checking :: No || Contains Fake Information :: No
1244661223523864578 ||||| Contains_Hate :: No || Talk About Cure or Vaccine :: No || Give Advice :: No || Rise Moral :: No || News or Opinion :: News || Blame, Negative, Demoralizing Speech :: No || Dialect :: MSA || Factual :: Yes || Worth Fact-checking :: No || Contains Fake Information :: No
